 # Number of iterations in MCMC :        90000
 # Weight   -ln(L/L_{max})    omega_b    omega_cdm    n_s    A_s    H0    m_ncdm    MG_beta2 
          18   79715.110845142073       1.96957625448703766E-002  0.11318628489971161       0.96832436323165894       2.19826676066980634E-009   65.054061889648438       1.23230484314262867E-003  0.55377620458602905     
          25   79713.789123019145       1.96964368224143982E-002  0.11318849027156830       0.96831858158111572       2.19827304997045377E-009   65.054588317871094       1.22974417172372341E-003  0.55340462923049927     
          30   79713.521407007836       1.96955595165491104E-002  0.11318747699260712       0.96831625699996948       2.19829401443590218E-009   65.053901672363281       1.22836849186569452E-003  0.55327939987182617     
          25   79714.302683091548       1.96944847702980042E-002  0.11318542808294296       0.96831452846527100       2.19830764144565804E-009   65.053085327148438       1.20724667795002460E-003  0.55318576097488403     
           2   79716.722696897734       1.96949150413274765E-002  0.11318426579236984       0.96832662820816040       2.19826938120955584E-009   65.053421020507813       1.23086362145841122E-003  0.55383360385894775     
          34   79715.646433274567       1.96953602135181427E-002  0.11318704485893250       0.96831983327865601       2.19826676066980634E-009   65.054359436035156       1.23406772036105394E-003  0.55336797237396240     
           8   79717.556286815976       1.96949392557144165E-002  0.11318441480398178       0.96832859516143799       2.19823950724159392E-009   65.053680419921875       1.22304877731949091E-003  0.55414891242980957     
           2   79718.036563306960       1.96927506476640701E-002  0.11318074911832809       0.96832680702209473       2.19825470622719327E-009   65.051811218261719       1.18713127449154854E-003  0.55355823040008545     
           1   79719.867174822590       1.96910426020622253E-002  0.11317697912454605       0.96833014488220215       2.19826466424025551E-009   65.050552368164063       1.17815029807388783E-003  0.55290293693542480     
           1   79720.344387204532       1.96905266493558884E-002  0.11317698657512665       0.96832513809204102       2.19830816556310447E-009   65.050422668457031       1.19729945436120033E-003  0.55238389968872070     
           3   79716.726500454592       1.96934398263692856E-002  0.11318375915288925       0.96831279993057251       2.19829977969895134E-009   65.053024291992188       1.18180795107036829E-003  0.55342292785644531     
          11   79715.755390407285       1.96926183998584747E-002  0.11318249255418777       0.96831214427947998       2.19833961283858794E-009   65.052032470703125       1.20088434778153896E-003  0.55285596847534180     
           7   79716.517363528183       1.96935124695301056E-002  0.11318427324295044       0.96831196546554565       2.19826833299328116E-009   65.053100585937500       1.15397851914167404E-003  0.55359268188476563     
           2   79713.885747708802       1.96936912834644318E-002  0.11318638175725937       0.96830517053604126       2.19831917205835266E-009   65.053459167480469       1.19098159484565258E-003  0.55246031284332275     
